,제목,작가,썸네일,주소
0,재벌집 막내아들,JP / 김병관 / 산경(...,https://shared-comic.pstatic.net/thumb/webtoon/800770/thumbnail/thumbnail_IMAG10_13fabad2-e339-43e5-9bd9-4311a5d5c7ae.jpg,/webtoon/list?titleId=800770&weekday=thu
1,앞집나리,민송아,https://shared-comic.pstatic.net/thumb/webtoon/802293/thumbnail/thumbnail_IMAG10_b7cf23a6-6dc2-41db-bdbe-8da05dcd5883.jpg,/webtoon/list?titleId=802293&weekday=thu
2,연애혁명,232,https://shared-comic.pstatic.net/thumb/webtoon/570503/thumbnail/thumbnail_IMAG10_6700d113-36b9-4d4a-a9af-a09527a4f297.jpg,/webtoon/list?titleId=570503&weekday=thu
3,나노마신,현절무 / 금강불괴 / 한...,https://shared-comic.pstatic.net/thumb/webtoon/747271/thumbnail/thumbnail_IMAG10_0a56d153-5521-4ca8-9665-a4450c6fb40d.jpg,/webtoon/list?titleId=747271&weekday=thu
4,남편을 죽여줘요,"이연, 칸트웍스 / 구물",https://shared-comic.pstatic.net/thumb/webtoon/797410/thumbnail/thumbnail_IMAG10_f858268d-2689-439b-8bf5-57fcb54880fe.jpg,/webtoon/list?titleId=797410&weekday=thu
5,천마육성,광휘 / 조형근,https://shared-comic.pstatic.net/thumb/webtoon/776255/thumbnail/thumbnail_IMAG10_56b3ed9f-2773-46d3-b65f-07e5b070f66a.jpg,/webtoon/list?titleId=776255&weekday=thu
6,독립일기,자까,https://shared-comic.pstatic.net/thumb/webtoon/748105/thumbnail/thumbnail_IMAG10_becd3e24-cc09-4243-a1c9-646270f4a8db.jpg,/webtoon/list?titleId=748105&weekday=thu
7,현실퀘스트,이주운 / 태성,https://shared-comic.pstatic.net/thumb/webtoon/783888/thumbnail/thumbnail_IMAG10_3c753d3c-ded1-4796-9bd7-da8ae9a53e37.jpg,/webtoon/list?titleId=783888&weekday=thu
8,보스였음,럭스,https://shared-comic.pstatic.net/thumb/webtoon/802833/thumbnail/thumbnail_IMAG10_81d577c7-403a-41cb-8fd2-c378b7520db9.jpg,/webtoon/list?titleId=802833&weekday=thu
9,회귀한 천재 헌터의 슬기로운 청소생활,고일고일 / 달비트,https://shared-comic.pstatic.net/thumb/webtoon/796827/thumbnail/thumbnail_IMAG10_bf8f2b51-efff-49d5-bdc3-3aa0f1c30790.jpg,/webtoon/list?titleId=796827&weekday=thu
